epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.654,1.90042,3.59592,1.80261,0.37059,0.36539,0.29573,0.13677,1.78345,7.09586,1.82328,0.00025005,0.00025005,0.00025005
2,445.952,1.70519,2.44163,1.6049,0.27132,0.46108,0.25177,0.11641,2.00242,4.05088,1.99254,0.000506538,0.000506538,0.000506538
3,668.025,1.66809,2.18857,1.56853,0.61932,0.35346,0.39029,0.20187,1.78505,2.91149,1.80112,0.000752464,0.000752464,0.000752464
4,841.402,1.71798,2.63817,1.74497,0.65688,0.32606,0.32291,0.18222,1.7111,7.17125,1.94242,0.000987828,0.000987828,0.000987828
5,6491.65,1.62298,2.14733,1.59292,0.44717,0.40643,0.35432,0.18388,1.76169,3.69847,1.7955,0.00121263,0.00121263,0.00121263
6,6675,1.64879,2.03108,1.54845,0.3761,0.50887,0.32934,0.14812,1.80879,8.02611,1.78397,0.00142687,0.00142687,0.00142687
7,6851.69,1.69807,2.37663,1.66624,0.60612,0.32563,0.34583,0.17737,1.7263,2.64028,1.85843,0.00146896,0.00146896,0.00146896
8,7031.16,1.63194,2.20894,1.67727,0.62247,0.33014,0.39585,0.21792,1.76205,2.54847,1.99221,0.00143595,0.00143595,0.00143595
9,7204.44,1.74138,2.12331,1.66929,0.62712,0.32987,0.37422,0.19638,1.75048,2.64611,1.97197,0.00140295,0.00140295,0.00140295
10,7380.66,1.56255,1.76335,1.62467,0.55079,0.52379,0.54679,0.28088,1.71212,2.07775,1.94154,0.00136994,0.00136994,0.00136994
11,7564.47,1.63822,1.75163,1.72667,0.62288,0.57075,0.59817,0.26748,1.73498,2.65089,1.97278,0.00133693,0.00133693,0.00133693
12,7776.89,1.57232,1.54849,1.58408,0.64276,0.50281,0.58166,0.3034,1.57161,1.90283,1.73402,0.00130393,0.00130393,0.00130393
13,7975.24,1.52442,1.51217,1.65113,0.3399,0.58172,0.28416,0.16089,1.45454,4.45537,1.63241,0.00127092,0.00127092,0.00127092
